C, Paris, Bibliothèque nationale de France, lat. 17436, ninth century, Compiègne, F-Pn lat. 17436
G, Durham, Cathedral Library, B. III. 11, eleventh century, northern France, GB-DRc B. III. 11
B, Bamberg, Staatsbibliothek, lit. 23, eleventh or twelfth century, Bamberg, D-BAs lit. 23
E, Ivrea, Biblioteca Capitolare, 106, eleventh century, Ivrea, I-IV 106
M, Monza, Basilica di S. Giovanni Battista - Biblioteca Capitolare e Tesoro, C. 12/75, eleventh century, Monza, I-MZ C. 12/75
V, Verona, Biblioteca Capitolare, XCVIII, eleventh century, Verona, I-VEcap XCVIII
H, Sankt Gallen, Stiftsbibliothek, 390-391 (“Hartker antiphoner”), early eleventh century, St. Gall, CH-SGs 390-391
R, Zürich, Zentralbibliothek, Rh. 28, thirteenth century, Rheinau, CH-Zz Rh. 28
D, Paris, Bibliothèque nationale de France, lat. 17296, twelfth century, St. Denis, F-Pn lat. 17296
F, Paris, Bibliothèque nationale de France, lat. 12584, twelfth century, St. Maur-les-Fossés, F-Pn lat. 12584
S, London, The British Library, add. 30850, eleventh century, Silos, GB-Lbl add. 30850
L, Benevento, Biblioteca Capitolare, V 21, late twelfth century, San Lupo, I-BV V. 21